wheer001: ['122', '0.18834952', '0.11206897', '0.13186814'] 
fontm001: ['109', '0.18562874', '0.04807692', '0.13180515'] 
machm001: ['202', '0.16674365', '0.11981567', '0.13179348'] 
hudso001: ['284', '0.18719889', '0.13636364', '0.13138686'] 
robis001: ['185', '0.17143574', '0.11560693', '0.13131313'] 
sotog001: ['368', '0.18622848', '0.11516854', '0.13121784'] 
andre001: ['714', '0.18788314', '0.08609272', '0.13120131'] 
boesb001: ['512', '0.17686157', '0.12159329', '0.13114753'] 
chave002: ['173', '0.18562168', '0.12745099', '0.13114753'] 
penab002: ['226', '0.17803030', '0.16363636', '0.13095239'] 
iztum001: ['323', '0.19586207', '0.07984791', '0.13091642'] 
dysoj001: ['344', '0.17975788', '0.03623188', '0.13089509'] 
casia001: ['331', '0.17915501', '0.11895911', '0.13084112'] 
berrq001: ['333', '0.18139204', '0.09830508', '0.13071299'] 
lidda001: ['129', '0.19562759', '0.10091743', '0.13065326'] 
reveb001: ['555', '0.16616413', '0.06573705', '0.13064133'] 
lonej001: ['478', '0.16709234', '0.11315790', '0.13061798'] 
weekj001: ['514', '0.18774250', '0.05134474', '0.13032581'] 
lopej003: ['250', '0.17578273', '0.13942307', '0.13021491'] 
harrj002: ['285', '0.16795866', '0.07870370', '0.12974297'] 
descd001: ['436', '0.17954321', '0.07526882', '0.12974203'] 
parmc001: ['213', '0.16821083', '0.10101010', '0.12934631'] 
conrb001: ['108', '0.18824027', '0.23529412', '0.12913907'] 
rodrs002: ['362', '0.16552901', '0.11702128', '0.12900098'] 
ingeb001: ['333', '0.18003064', '0.15745856', '0.12876935'] 
furcr001: ['534', '0.18278591', '0.10323887', '0.12876551'] 
galvf001: ['202', '0.16529702', '0.13333334', '0.12866449'] 
tholj001: ['364', '0.17984372', '0.08677686', '0.12830958'] 
mesod001: ['190', '0.17281403', '0.10062893', '0.12807882'] 
jonea002: ['292', '0.16942278', '0.10802469', '0.12803105'] 
nadyx001: ['170', '0.17498583', '0.10769231', '0.12786260'] 
franb001: ['220', '0.17507033', '0.08791209', '0.12750717'] 
gwynt002: ['279', '0.17931153', '0.08000000', '0.12741312'] 
pennc001: ['468', '0.18882392', '0.07518797', '0.12729748'] 
bernr001: ['279', '0.16619484', '0.10606061', '0.12723657'] 
norrd001: ['233', '0.18455347', '0.15929204', '0.12722646'] 
ransc001: ['294', '0.17259166', '0.13003096', '0.12692967'] 
molij001: ['296', '0.16471751', '0.13076924', '0.12689805'] 
escoy001: ['611', '0.16373105', '0.09927798', '0.12676795'] 
damoj001: ['227', '0.19401377', '0.09952607', '0.12621360'] 
peteb001: ['277', '0.19070342', '0.10674157', '0.12618725'] 
overl001: ['138', '0.16940582', '0.07407407', '0.12601626'] 
greet005: ['124', '0.17400962', '0.13861386', '0.12596402'] 
getzc001: ['214', '0.17169684', '0.11656442', '0.12596007'] 
clevs001: ['218', '0.18602639', '0.09604520', '0.12578617'] 
bakej002: ['218', '0.17762727', '0.07692308', '0.12556054'] 
kotcc001: ['509', '0.17033429', '0.12527473', '0.12532468'] 
younm003: ['655', '0.16588227', '0.10859729', '0.12528065'] 
flahr001: ['177', '0.17711328', '0.13669065', '0.12500000'] 
giavj001: ['189', '0.17256139', '0.11445783', '0.12500000'] 
torry001: ['220', '0.17971568', '0.06930693', '0.12500000'] 
gentc001: ['287', '0.15744752', '0.09574468', '0.12461060'] 
lavar001: ['169', '0.19756310', '0.10714286', '0.12442397'] 
herrj002: ['259', '0.18197949', '0.05172414', '0.12437186'] 
pastt001: ['191', '0.17609316', '0.08602151', '0.12413793'] 
quino001: ['196', '0.18378638', '0.08080808', '0.12383901'] 
rhymw001: ['145', '0.17388408', '0.06504065', '0.12378640'] 
santr002: ['263', '0.18406868', '0.08585858', '0.12378303'] 
ramia003: ['624', '0.16725460', '0.12541254', '0.12336086'] 
cruzt002: ['136', '0.15307263', '0.09166667', '0.12325581'] 
marsl001: ['246', '0.18374750', '0.05737705', '0.12300123'] 
drews001: ['335', '0.18565291', '0.08426967', '0.12260217'] 
gimec001: ['121', '0.17765495', '0.08411215', '0.12201592'] 
nix-l001: ['144', '0.15002970', '0.09756097', '0.12200000'] 
suzuk001: ['449', '0.17698270', '0.12566845', '0.12186380'] 
puntn001: ['193', '0.17995545', '0.06395349', '0.12055641'] 
janip001: ['195', '0.17275670', '0.06358381', '0.12028725'] 
bogub001: ['409', '0.17907581', '0.07795699', '0.12005857'] 
schus001: ['326', '0.16182961', '0.08139535', '0.11971831'] 
